num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
51,1063469,52,64756,20852.33333333333,21912.48352484644,0,0.524165,0.01699238,0.073742381,49,3399,40,569,69.36734693877551,76.24513478,5e-06,0.54051,0.018436083,0.078428632,38176,ndtv
20,27511,52,16228,1375.55,3647.095130662931,0,0.06267,0.011548895,0.016832485,15,1666,40,569,111.06666666666666,131.92284902638394,8e-06,0.096653,0.0184315,0.028959322,51544,nhk
20,27511,52,20272,1375.55,4487.819204011536,0,0.036208,0.009578368,0.012237355,15,1666,40,569,111.06666666666666,131.92284902638394,3.7e-05,0.053205,0.014887286,0.019967417,36922,nhk
432,1587043,40,17720,3673.710648148148,5377.598238001115,0,0.495673,0.004218974,0.026107492,214,9420,40,557,44.018691588785046,36.88861073605124,2e-06,0.517094,0.008746188,0.037924305,44612,nypost
20,169814,52,48580,8490.7,11625.777063332836,0,0.038093,0.008176105,0.012274391,21,1175,52,127,55.95238095238095,16.372159877292287,6e-06,0.07462,0.0095254,0.018029965,34852,newscn
49,560513,40,58520,11439.040816326533,15026.357424759755,0,0.258127,0.012255312,0.038917189,40,2463,40,557,61.575,83.35555216614601,1.8e-05,0.232751,0.015154538,0.040926899,55966,polimiit
18,27399,52,10836,1522.1666666666667,3003.639620624991,0,0.789687,0.068840824,0.1945103686456185,16,1718,40,569,107.375,128.3021823664742,5.6e-05,0.806695,0.080478267,0.2112332232650058,36912,nhk
17,169658,52,37796,9979.882352941177,14561.089974150083,1e-06,0.019676,0.005645562,0.005968569,18,1019,52,127,56.61111111111112,17.667314083586806,1e-05,0.021897,0.006600706,0.007368011,60900,newscn
52,560663,40,65320,10781.98076923077,14648.29421,0,0.267556,0.011769216,0.039203283,38,2383,40,557,62.71052631578947,85.38621570340227,7e-06,0.245865,0.016603865,0.044122003,55974,polimiit
95,1777381,52,64756,18709.27368421053,20944.133457002365,0,0.381607,0.013629351,0.050959086,83,5372,52,569,64.72289156626506,59.49591362,2e-06,0.333372,0.01637378,0.050699674,51552,google
93,3064425,52,64756,32950.80645,25196.282030014776,1e-06,0.030983,0.003490576,0.006080124,79,4932,40,569,62.43037974683544,60.23132406457536,8e-06,0.03079,0.004498833,0.007307276,37030,cnn
111,3065340,52,64756,27615.67567567568,22937.62691980231,0,0.033115,0.002554109,0.004671633,96,5816,40,569,60.583333333333336,54.72335529,3e-06,0.038791,0.003366347,0.006566032,57478,cnn
111,3065568,52,64756,27617.72972972973,22845.495770479945,0,0.027741,0.002670991,0.004487814,100,6024,40,569,60.24,53.63308190610994,5e-06,0.035343,0.003254576,0.006289483,56028,cnn
65,1266539,52,64756,19485.215384615385,19920.69308336521,0,0.47367,0.012638391,0.059217085,58,3913,40,569,67.46551724137932,70.53634512122888,7e-06,0.504033,0.014842175,0.067522626,46076,dailymail
68,1266686,52,64756,18627.735294117647,19271.59949105965,0,0.417076,0.010557134,0.050800478,59,3965,40,569,67.20338983050847,69.95461081671333,3e-06,0.443489,0.013218879,0.058576484,33676,dailymail
60,1266264,52,64756,21104.4,21930.50888927052,0,0.431606,0.013154915,0.056131918,56,3809,40,569,68.01785714285714,71.17111034719046,8e-06,0.453512,0.014777582,0.061259228,58514,dailymail
45,865921,52,64756,19242.68888888889,19931.399324617767,0,0.039254,0.006788773,0.009351371,44,3217,40,569,73.11363636363636,81.36230082643732,8e-06,0.074455,0.008566233,0.01660643,59112,nbcnews
20,169814,52,35100,8490.7,11401.503913265587,0,0.02651,0.006608789,0.007650773,21,1175,52,127,55.95238095238095,16.372159877292287,7e-06,0.045265,0.0085407,0.012872477,34864,newscn
22,52208,40,20440,2373.090909090909,5146.740548838292,0,0.044268,0.013897667,0.013685041,18,2141,40,563,118.94444444444444,163.75464868919067,5.9e-05,0.068527,0.019150706,0.024397776,59140,msn
83,1777848,52,64756,21419.85542168675,24251.304367300065,0,0.270922,0.012444476,0.038211833,68,4580,52,569,67.35294118,65.50874721264037,7e-06,0.236347,0.015167373,0.040422113,60654,google
96,3057332,52,64756,31847.20833333333,25139.02069101953,0,0.136544,0.006086368,0.016412101,81,5107,40,569,63.04938271604938,59.87944164,6e-06,0.159182,0.007917663,0.021733447,40734,cnbc
106,3057535,52,64756,28844.66981132076,23422.683170571752,0,0.103815,0.004947752,0.013370004,96,5887,40,569,61.32291666666666,55.09694705300299,7e-06,0.127608,0.005948063,0.018289302,34778,cnbc
89,1778580,52,64756,19984.044943820223,21447.99371148633,0,0.270499,0.009393341,0.032737103,78,5100,52,569,65.38461538461539,61.32502948029661,5e-06,0.238906,0.010766857,0.032921739,51536,google
46,604395,52,64756,13139.021739130434,14152.82963,0,0.036472,0.005071911,0.008779995,43,3059,40,569,71.13953488372093,81.00840091512826,9e-06,0.041599,0.006423286,0.010870131,36452,bbc
38,604118,52,55320,15897.842105263158,15703.198229120208,0,0.03059,0.006394351,0.008409699,36,2695,40,569,74.86111111111111,88.24581018877332,6e-06,0.04906,0.007971486,0.01241645,44056,bbc
22,73635,40,27240,3347.0454545454545,6926.790987086869,0,0.595892,0.1068348571428571,0.1930695415339472,18,1500,40,557,83.33333333333333,122.49657858367264,9e-06,0.622537,0.1521378235294117,0.2240787705722128,46688,baidu
19,73383,40,29960,3862.2631578947367,7493.8130617649085,0,0.495708,0.1053245555555555,0.155673665,18,1488,40,557,82.66666666666667,122.70960459077163,6e-06,0.534514,0.1319359411764706,0.1807661090810687,44184,baidu
19,73390,40,31320,3862.631578947368,7723.9608018060435,0,0.340325,0.093287444,0.1329844470133177,19,1528,40,557,80.42105263157895,119.65334920765146,5e-06,0.373916,0.1119773888888888,0.1556016362507113,60916,baidu
43,288510,52,27012,6709.534884,7589.804678924901,0,0.235178,0.017321595,0.041090272,41,3059,40,569,74.60975609756098,84.09276962045551,9e-06,0.259945,0.019237425,0.046942704,44372,asahi
127,3058631,52,64756,24083.708661417324,22982.915875938805,0,0.124208,0.004368127,0.013477906,110,6615,40,569,60.13636363636363,51.53167321612697,6e-06,0.139807,0.00557267,0.017959754,34790,cnbc
39,171015,52,17576,4385,5803.2699357662505,0,0.262513,0.012958868,0.042738505,31,2991,52,575,96.48387096774194,130.00330020624915,8e-06,0.232079,0.016713833,0.043658881,54170,vaticannewsva
32,170601,52,24316,5331.28125,7074.1285442294775,0,0.03144,0.005483194,0.007212602,27,2783,52,575,103.07407407407408,138.3887850963937,2.1e-05,0.036843,0.007850962,0.011704339,54180,vaticannewsva
79,1135160,52,64756,14369.113924050633,17764.803445611597,0,0.555127,0.044693295,0.095301071,68,4396,40,569,64.64705882,64.67410026395197,7e-06,0.55513,0.052559358,0.1009383881399638,35832,timesofindia
57,1132684,52,64756,19871.64912280702,20070.08532839292,0,0.052459,0.004874321,0.008586771,48,3344,40,569,69.66666666666667,77.25374970816395,8e-06,0.071543,0.006511766,0.012679084,54620,timesofindia
