num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
19,73219,40,32680,3853.631578947368,8130.072100339895,6e-05,0.592045,0.1182475555555555,0.1854533125716304,17,1460,40,557,85.88235294117646,125.77354767246426,6.2e-05,0.618793,0.156304313,0.2138283616491566,56246,baidu
20,74722,40,32680,3736.1,9697.005337514744,4.5e-05,0.658817,0.148261947,0.2444646708798348,15,1392,40,557,92.8,132.88512762102891,6.5e-05,0.711085,0.2295494285714286,0.2896742247633774,51722,baidu
26,170466,52,33752,6556.384615384615,9997.935719,4.7e-05,0.286798,0.02221668,0.056626069,23,2575,52,575,111.95652173913044,148.58253851307074,0.000179,0.250556,0.024804545,0.053803474,48844,vaticannewsva
20,51688,40,34040,2584.4,7710.951770047584,0.000513,0.280845,0.029630053,0.062762137,18,2141,40,563,118.94444444444444,163.75464868919067,0.000125,0.279412,0.036101294,0.067515252,39594,msn
21,51628,40,34040,2458.4761904761904,7487.751448993533,9e-05,0.282541,0.0285289,0.062064438,19,2181,40,563,114.78947368421052,160.16816820224656,0.000209,0.27554,0.034006611,0.065237464,33924,msn
20,51793,40,35400,2589.65,7909.498375703932,0.000283,0.311779,0.030745895,0.069802915,19,2181,40,563,114.78947368421052,160.16816820224656,0.000104,0.289941,0.035902722,0.069176922,33932,msn
14,159800,52,36448,11414.285714285714,10636.056841840267,0.001676,0.03651,0.009198692,0.008955403,15,863,52,127,57.53333333333333,19.32750322603468,0.000108,0.043799,0.009978786,0.011049613,34218,newscn
24,51780,40,36760,2157.5,7473.401501324547,4.7e-05,0.049559,0.013269304,0.014675619,19,2181,40,563,114.78947368421052,159.43810326245674,9.5e-05,0.077428,0.019260444,0.023567604,50402,msn
11,170524,52,39144,15502.181818181818,13819.231395545716,0.001098,0.039376,0.0132651,0.012354388,13,759,52,127,58.38461538461539,20.73458649028422,5.2e-05,0.047686,0.013465833,0.015146128,34226,newscn
16,170784,52,39144,10674,12686.198863331758,0.000297,0.046238,0.010118667,0.012561457,17,967,52,127,56.88235294117647,18.17237722802514,7.6e-05,0.046373,0.011902063,0.01502964,55682,newscn
21,52088,40,39480,2480.3809523809523,8576.416358,0.0001,0.052494,0.0134276,0.014220555,19,2181,40,563,114.78947368421052,159.43810326245674,5.4e-05,0.074092,0.017411222,0.023446033,39732,msn
29,170644,52,40492,5884.275862068966,10328.25259005798,7.4e-05,0.304123,0.020909036,0.056618614,25,2679,52,575,107.16,143.22234462541107,0.000144,0.25501,0.024786042,0.052548001,54368,vaticannewsva
19,51609,40,42200,2716.2631578947367,9612.196244829942,0.000279,0.285325,0.031782722,0.064890753,16,2061,40,563,128.8125,171.62797703171822,0.000165,0.279981,0.0410912,0.070815183,39722,msn
26,170487,52,43188,6557.192307692308,11014.418045522809,4.6e-05,0.039058,0.00993904,0.009405959,22,2523,52,575,114.6818181818182,151.48955216642634,0.000205,0.052408,0.014076762,0.017663701,60768,vaticannewsva
14,170680,52,43188,12191.42857142857,16273.419184548891,0.001999,0.025737,0.010951385,0.006790119,15,863,52,127,57.53333333333333,19.32750322603468,7.4e-05,0.050389,0.013724429,0.016018684,39286,newscn
15,50234,40,43560,3348.9333333333334,11174.417271266586,3.6e-05,0.053041,0.017162571,0.017385455,12,1877,40,563,156.41666666666666,190.8438001628716,7.9e-05,0.051535,0.018393273,0.020846153,59352,msn
30,254045,52,44536,8468.166666666666,12618.16718502316,4.6e-05,0.044601,0.009311828,0.011259204,29,2348,40,569,80.96551724137932,98.11381246819602,3.9e-05,0.051113,0.0111785,0.01600556,59234,abc
62,889515,52,44536,14347.016129032258,12675.299637538155,0.000192,0.041112,0.007721426,0.011907693,59,3997,40,569,67.74576271,69.94569154864779,8.8e-05,0.094299,0.008893,0.019659573,54868,nbcnews
28,253941,52,45884,9069.321429,14307.12864029307,5e-05,0.038338,0.008849296,0.011781718,27,2244,40,569,83.11111111111111,100.61859949384387,5.7e-05,0.053223,0.010723885,0.016386049,44160,abc
23,170309,52,47232,7404.739130434783,14284.107905505563,3.5e-05,0.074668,0.0136535,0.018583295,20,2419,52,575,120.95,157.8285128666053,0.000106,0.074822,0.018860158,0.024864862,46858,vaticannewsva
